@RELATION move
@ATTRIBUTE spx  NUMERIC
@ATTRIBUTE spy NUMERIC
@ATTRIBUTE lrps NUMERIC
@ATTRIBUTE rrps NUMERIC
@ATTRIBUTE svx NUMERIC
@ATTRIBUTE svy NUMERIC
@ATTRIBUTE sav NUMERIC
@ATTRIBUTE bpx NUMERIC
@ATTRIBUTE bpy NUMERIC
@ATTRIBUTE ba NUMERIC
@ATTRIBUTE bvx NUMERIC
@ATTRIBUTE bvy NUMERIC
@ATTRIBUTE bpxp NUMERIC
@DATA
0.245112,0.000000,2.789107,2.789107,0.011156,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.002100
0.252161,-0.000000,2.811945,2.811945,0.003749,-0.000000,0.000000,1.002100,0.000000,0.000000,0.003749,0.000000,1.007095
0.257251,0.000000,2.833255,2.833255,0.005027,0.000000,0.000000,1.007095,0.000000,0.000000,0.005027,0.000000,1.012546
0.262790,0.000000,2.853139,2.853139,0.005480,0.000000,-0.000000,1.012546,0.000000,0.000000,0.005480,0.000000,1.018172
0.268504,-0.000000,2.871693,2.871693,0.005656,-0.000000,0.000000,1.018172,0.000000,0.000000,0.005656,-0.000000,1.023880
0.274300,-0.000000,2.889005,2.889005,0.005737,-0.000000,0.000000,1.023880,-0.000000,0.000000,0.005737,-0.000000,1.029637
0.280144,-0.000000,2.905159,2.905159,0.005786,0.000000,0.000000,1.029637,-0.000000,0.000000,0.005786,-0.000000,1.035430
0.286025,0.000000,2.920232,2.920232,0.005822,0.000000,-0.000000,1.035430,0.000000,0.000000,0.005822,0.000000,1.041254
0.291937,0.000000,2.934296,2.934296,0.005853,0.000000,0.000000,1.041254,0.000000,0.000000,0.005853,0.000000,1.047105
0.297877,0.000000,2.947420,2.947420,0.005881,0.000000,0.000000,1.047105,0.000000,0.000000,0.005881,0.000000,1.052982
0.303843,0.000000,2.959665,2.959665,0.005907,-0.000000,-0.000000,1.052982,0.000000,0.000000,0.005907,0.000000,1.058883
0.309833,0.000000,2.971091,2.971091,0.005930,0.000000,-0.000000,1.058883,0.000000,0.000000,0.005930,0.000000,1.064805
0.315845,0.000000,2.981753,2.981753,0.005952,0.000000,-0.000000,1.064805,0.000000,0.000000,0.005952,0.000000,1.070748
0.321878,0.000000,2.991701,2.991701,0.005973,-0.000000,-0.000000,1.070748,0.000000,0.000000,0.005973,0.000000,1.076711
0.327930,0.000000,3.000983,3.000983,0.005992,-0.000000,-0.000000,1.076711,0.000000,0.000000,0.005992,-0.000000,1.082691
0.334001,-0.000000,3.009645,3.009645,0.006010,-0.000000,-0.000000,1.082691,0.000000,0.000000,0.006010,0.000000,1.088688
0.340088,-0.000000,3.017727,3.017727,0.006027,-0.000000,0.000000,1.088688,0.000000,0.000000,0.006027,-0.000000,1.094700
0.346192,-0.000000,3.025268,3.025268,0.006043,-0.000000,-0.000000,1.094700,0.000000,0.000000,0.006043,0.000000,1.100727
0.352310,-0.000000,3.032305,3.032305,0.006057,-0.000000,0.000000,1.100727,0.000000,0.000000,0.006057,0.000000,1.106768
0.358441,-0.000000,3.038870,3.038870,0.006071,0.000000,-0.000000,1.106768,0.000000,0.000000,0.006071,0.000000,1.112821
0.364586,-0.000000,3.044997,3.044997,0.006084,0.000000,0.000000,1.112821,0.000000,0.000000,0.006084,0.000000,1.118886
0.370743,-0.000000,3.050713,3.050713,0.006095,0.000000,0.000000,1.118886,0.000000,0.000000,0.006095,0.000000,1.124962
0.376910,-0.000000,3.056048,3.056048,0.006107,0.000000,0.000000,1.124962,0.000000,0.000000,0.006107,0.000000,1.131048
0.383089,-0.000000,3.061025,3.061025,0.006117,0.000000,-0.000000,1.131048,0.000000,0.000000,0.006117,0.000000,1.137144
0.389276,-0.000000,3.065669,3.065669,0.006127,0.000000,-0.000000,1.137144,0.000000,0.000000,0.006127,0.000000,1.143248
0.395473,-0.000000,3.070002,3.070002,0.006136,-0.000000,-0.000000,1.143248,0.000000,0.000000,0.006136,0.000000,1.149362
0.401679,-0.000000,3.074046,3.074046,0.006144,-0.000000,-0.000000,1.149362,0.000000,0.000000,0.006144,0.000000,1.155483
0.407892,-0.000000,3.077819,3.077819,0.006152,-0.000000,-0.000000,1.155483,0.000000,0.000000,0.006152,0.000000,1.161611
0.414113,-0.000000,3.081339,3.081339,0.006159,-0.000000,0.000000,1.161611,0.000000,0.000000,0.006159,0.000000,1.167746
0.420340,-0.000000,3.084624,3.084624,0.006166,-0.000000,0.000000,1.167746,0.000000,0.000000,0.006166,0.000000,1.173887
0.426574,-0.000000,3.087689,3.087689,0.006172,-0.000000,0.000000,1.173887,0.000000,0.000000,0.006172,0.000000,1.180034
0.432814,-0.000000,3.090549,3.090549,0.006178,-0.000000,0.000000,1.180034,0.000000,0.000000,0.006178,0.000000,1.186187
0.439060,-0.000000,3.093218,3.093218,0.006184,-0.000000,-0.000000,1.186187,0.000000,0.000000,0.006184,0.000000,1.192345
0.445311,-0.000000,3.095708,3.095708,0.006189,-0.000000,0.000000,1.192345,0.000000,0.000000,0.006189,0.000000,1.198507
0.451566,-0.000000,3.098032,3.098032,0.006194,-0.000000,-0.000000,1.198507,0.000000,0.000000,0.006194,-0.000000,1.204675
0.457826,-0.000000,3.100200,3.100200,0.006198,-0.000000,-0.000000,1.204675,0.000000,0.000000,0.006198,0.000000,1.210846
0.464091,-0.000000,3.102223,3.102223,0.006202,-0.000000,0.000000,1.210846,0.000000,0.000000,0.006202,0.000000,1.217021
0.470359,-0.000000,3.104110,3.104110,0.006206,-0.000000,0.000000,1.217021,0.000000,0.000000,0.006206,0.000000,1.223200
0.476631,-0.000000,3.105872,3.105872,0.006210,-0.000000,-0.000000,1.223200,0.000000,0.000000,0.006210,0.000000,1.229382
0.482907,-0.000000,3.107515,3.107515,0.006213,-0.000000,-0.000000,1.229382,0.000000,0.000000,0.006213,0.000000,1.235568
0.489185,-0.000000,3.109049,3.109049,0.006217,-0.000000,-0.000000,1.235568,0.000000,0.000000,0.006217,0.000000,1.241756
0.495467,-0.000000,3.110480,3.110480,0.006219,-0.000000,0.000000,1.241756,0.000000,0.000000,0.006219,0.000000,1.247947
0.501752,-0.000000,3.111815,3.111815,0.006222,-0.000000,0.000000,1.247947,0.000000,0.000000,0.006222,0.000000,1.254141
0.508039,-0.000000,3.113061,3.113061,0.006225,-0.000000,-0.000000,1.254141,0.000000,0.000000,0.006225,0.000000,1.260337
0.514328,-0.000000,3.114223,3.114223,0.006227,-0.000000,-0.000000,1.260337,0.000000,0.000000,0.006227,0.000000,1.266535
0.520620,-0.000000,3.115308,3.115308,0.006229,-0.000000,0.000000,1.266535,0.000000,0.000000,0.006229,0.000000,1.272736
0.526914,-0.000000,3.116320,3.116320,0.006232,-0.000000,0.000000,1.272736,0.000000,0.000000,0.006232,0.000000,1.278938
0.533210,-0.000000,3.117264,3.117264,0.006234,-0.000000,0.000000,1.278938,0.000000,0.000000,0.006234,0.000000,1.285142
