@RELATION em_test
@ATTRIBUTE east_of_box1_splinter {0, 1}
@ATTRIBUTE east_of_box1_world {0, 1}
@ATTRIBUTE east_of_splinter_box1 {0, 1}
@ATTRIBUTE east_of_splinter_world {0, 1}
@ATTRIBUTE east_of_world_box1 {0, 1}
@ATTRIBUTE east_of_world_splinter {0, 1}
@ATTRIBUTE horizontally_aligned_box1_splinter {0, 1}
@ATTRIBUTE horizontally_aligned_box1_world {0, 1}
@ATTRIBUTE horizontally_aligned_splinter_box1 {0, 1}
@ATTRIBUTE horizontally_aligned_splinter_world {0, 1}
@ATTRIBUTE horizontally_aligned_world_box1 {0, 1}
@ATTRIBUTE horizontally_aligned_world_splinter {0, 1}
@ATTRIBUTE intersect_box1_splinter {0, 1}
@ATTRIBUTE intersect_box1_world {0, 1}
@ATTRIBUTE intersect_splinter_world {0, 1}
@ATTRIBUTE north_of_box1_splinter {0, 1}
@ATTRIBUTE north_of_box1_world {0, 1}
@ATTRIBUTE north_of_splinter_box1 {0, 1}
@ATTRIBUTE north_of_splinter_world {0, 1}
@ATTRIBUTE north_of_world_box1 {0, 1}
@ATTRIBUTE north_of_world_splinter {0, 1}
@ATTRIBUTE south_of_box1_splinter {0, 1}
@ATTRIBUTE south_of_box1_world {0, 1}
@ATTRIBUTE south_of_splinter_box1 {0, 1}
@ATTRIBUTE south_of_splinter_world {0, 1}
@ATTRIBUTE south_of_world_box1 {0, 1}
@ATTRIBUTE south_of_world_splinter {0, 1}
@ATTRIBUTE vertically_aligned_box1_splinter {0, 1}
@ATTRIBUTE vertically_aligned_box1_world {0, 1}
@ATTRIBUTE vertically_aligned_splinter_box1 {0, 1}
@ATTRIBUTE vertically_aligned_splinter_world {0, 1}
@ATTRIBUTE vertically_aligned_world_box1 {0, 1}
@ATTRIBUTE vertically_aligned_world_splinter {0, 1}
@ATTRIBUTE west_of_box1_splinter {0, 1}
@ATTRIBUTE west_of_box1_world {0, 1}
@ATTRIBUTE west_of_splinter_box1 {0, 1}
@ATTRIBUTE west_of_splinter_world {0, 1}
@ATTRIBUTE west_of_world_box1 {0, 1}
@ATTRIBUTE west_of_world_splinter {0, 1}
@ATTRIBUTE model {-1,0,1}
@DATA
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
